base_bs,batch_size,kv_len,tp,num_q_heads,num_kv_heads,head_dim,page_size,time_us,status
128,128,1024,1,96,8,128,32,82.34,OK
128,256,1024,2,48,4,128,32,82.34,OK
128,384,1024,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
128,512,1024,4,24,2,128,32,82.56,OK
128,640,1024,5,20,2,128,32,100.77,OK
128,768,1024,6,16,2,128,32,117.89,OK
128,896,1024,7,14,2,128,32,134.98,OK
128,1024,1024,8,12,1,128,32,82.53,OK
128,1152,1024,9,11,1,128,32,91.33,OK
128,1280,1024,10,10,1,128,32,99.97,OK
128,1408,1024,11,9,1,128,32,109.57,OK
128,1536,1024,12,8,1,128,32,117.44,OK
128,1664,1024,13,8,1,128,32,126.30,OK
128,1792,1024,14,7,1,128,32,134.59,OK
128,1920,1024,15,7,1,128,32,144.35,OK
128,2048,1024,16,6,1,128,32,152.58,OK
128,2176,1024,17,6,1,128,32,160.83,OK
128,2304,1024,18,6,1,128,32,169.82,OK
128,2432,1024,19,6,1,128,32,178.56,OK
128,2560,1024,20,5,1,128,32,187.01,OK
128,2688,1024,21,5,1,128,32,195.62,OK
128,2816,1024,22,5,1,128,32,205.15,OK
128,2944,1024,23,5,1,128,32,213.66,OK
128,3072,1024,24,4,1,128,32,221.50,OK
128,3200,1024,25,4,1,128,32,230.02,OK
128,3328,1024,26,4,1,128,32,238.69,OK
128,3456,1024,27,4,1,128,32,247.04,OK
128,3584,1024,28,4,1,128,32,256.38,OK
128,3712,1024,29,4,1,128,32,265.28,OK
128,3840,1024,30,4,1,128,32,273.76,OK
128,3968,1024,31,4,1,128,32,283.01,OK
128,4096,1024,32,3,1,128,32,290.34,OK
128,4224,1024,33,3,1,128,32,299.39,OK
128,4352,1024,34,3,1,128,32,308.38,OK
128,4480,1024,35,3,1,128,32,317.15,OK
128,4608,1024,36,3,1,128,32,325.25,OK
128,4736,1024,37,3,1,128,32,334.91,OK
128,4864,1024,38,3,1,128,32,343.33,OK
128,4992,1024,39,3,1,128,32,351.33,OK
128,5120,1024,40,3,1,128,32,360.90,OK
128,5248,1024,41,3,1,128,32,369.41,OK
128,5376,1024,42,3,1,128,32,377.86,OK
128,5504,1024,43,3,1,128,32,387.42,OK
128,5632,1024,44,3,1,128,32,396.38,OK
128,5760,1024,45,3,1,128,32,403.87,OK
128,5888,1024,46,3,1,128,32,412.64,OK
128,6016,1024,47,3,1,128,32,422.02,OK
128,6144,1024,48,2,1,128,32,429.15,OK
128,6272,1024,49,2,1,128,32,437.15,OK
128,6400,1024,50,2,1,128,32,446.50,OK
128,6528,1024,51,2,1,128,32,455.04,OK
128,6656,1024,52,2,1,128,32,463.65,OK
128,6784,1024,53,2,1,128,32,472.06,OK
128,6912,1024,54,2,1,128,32,480.64,OK
128,7040,1024,55,2,1,128,32,490.21,OK
128,7168,1024,56,2,1,128,32,498.66,OK
128,7296,1024,57,2,1,128,32,506.88,OK
128,7424,1024,58,2,1,128,32,516.38,OK
128,7552,1024,59,2,1,128,32,524.70,OK
128,7680,1024,60,2,1,128,32,533.15,OK
