base_bs,batch_size,kv_len,tp,num_q_heads,num_kv_heads,head_dim,page_size,time_us,status
128,128,256,1,96,8,128,32,40.29,OK
128,256,256,2,48,4,128,32,43.36,OK
128,384,256,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
128,512,256,4,24,2,128,32,41.34,OK
128,640,256,5,20,2,128,32,41.38,OK
128,768,256,6,16,2,128,32,41.34,OK
128,896,256,7,14,2,128,32,42.40,OK
128,1024,256,8,12,1,128,32,41.38,OK
128,1152,256,9,11,1,128,32,39.30,OK
128,1280,256,10,10,1,128,32,38.27,OK
128,1408,256,11,9,1,128,32,39.01,OK
128,1536,256,12,8,1,128,32,37.92,OK
128,1664,256,13,8,1,128,32,39.33,OK
128,1792,256,14,7,1,128,32,42.30,OK
128,1920,256,15,7,1,128,32,44.19,OK
128,2048,256,16,6,1,128,32,46.14,OK
128,2176,256,17,6,1,128,32,49.47,OK
128,2304,256,18,6,1,128,32,52.03,OK
128,2432,256,19,6,1,128,32,54.46,OK
128,2560,256,20,5,1,128,32,56.51,OK
128,2688,256,21,5,1,128,32,58.88,OK
128,2816,256,22,5,1,128,32,60.26,OK
128,2944,256,23,5,1,128,32,62.98,OK
128,3072,256,24,4,1,128,32,64.83,OK
128,3200,256,25,4,1,128,32,67.10,OK
128,3328,256,26,4,1,128,32,69.09,OK
128,3456,256,27,4,1,128,32,71.23,OK
128,3584,256,28,4,1,128,32,73.50,OK
128,3712,256,29,4,1,128,32,75.55,OK
128,3840,256,30,4,1,128,32,77.95,OK
128,3968,256,31,4,1,128,32,80.67,OK
128,4096,256,32,3,1,128,32,82.02,OK
128,4224,256,33,3,1,128,32,84.51,OK
128,4352,256,34,3,1,128,32,87.39,OK
128,4480,256,35,3,1,128,32,89.47,OK
128,4608,256,36,3,1,128,32,91.65,OK
128,4736,256,37,3,1,128,32,93.73,OK
128,4864,256,38,3,1,128,32,95.68,OK
128,4992,256,39,3,1,128,32,97.82,OK
128,5120,256,40,3,1,128,32,100.13,OK
128,5248,256,41,3,1,128,32,102.18,OK
128,5376,256,42,3,1,128,32,104.61,OK
128,5504,256,43,3,1,128,32,106.59,OK
128,5632,256,44,3,1,128,32,110.02,OK
128,5760,256,45,3,1,128,32,111.68,OK
128,5888,256,46,3,1,128,32,114.21,OK
128,6016,256,47,3,1,128,32,116.06,OK
128,6144,256,48,2,1,128,32,117.76,OK
128,6272,256,49,2,1,128,32,120.03,OK
128,6400,256,50,2,1,128,32,122.02,OK
128,6528,256,51,2,1,128,32,123.52,OK
128,6656,256,52,2,1,128,32,125.76,OK
128,6784,256,53,2,1,128,32,127.58,OK
128,6912,256,54,2,1,128,32,129.82,OK
128,7040,256,55,2,1,128,32,132.42,OK
128,7168,256,56,2,1,128,32,134.27,OK
128,7296,256,57,2,1,128,32,137.28,OK
128,7424,256,58,2,1,128,32,139.62,OK
128,7552,256,59,2,1,128,32,141.66,OK
128,7680,256,60,2,1,128,32,143.81,OK
128,7808,256,61,2,1,128,32,145.82,OK
128,7936,256,62,2,1,128,32,147.87,OK
128,8064,256,63,2,1,128,32,150.46,OK
128,8192,256,64,2,1,128,32,152.26,OK
128,8320,256,65,2,1,128,32,154.53,OK
128,8448,256,66,2,1,128,32,156.93,OK
128,8576,256,67,2,1,128,32,158.94,OK
128,8704,256,68,2,1,128,32,161.15,OK
128,8832,256,69,2,1,128,32,163.17,OK
128,8960,256,70,2,1,128,32,165.34,OK
128,9088,256,71,2,1,128,32,168.32,OK
128,9216,256,72,2,1,128,32,170.27,OK
148,148,256,1,96,8,128,32,41.31,OK
148,296,256,2,48,4,128,32,40.32,OK
148,444,256,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
148,592,256,4,24,2,128,32,41.31,OK
148,740,256,5,20,2,128,32,41.34,OK
148,888,256,6,16,2,128,32,41.38,OK
148,1036,256,7,14,2,128,32,47.49,OK
148,1184,256,8,12,1,128,32,42.37,OK
148,1332,256,9,11,1,128,32,42.37,OK
148,1480,256,10,10,1,128,32,40.32,OK
148,1628,256,11,9,1,128,32,42.40,OK
148,1776,256,12,8,1,128,32,42.37,OK
148,1924,256,13,8,1,128,32,44.45,OK
148,2072,256,14,7,1,128,32,47.49,OK
148,2220,256,15,7,1,128,32,49.57,OK
148,2368,256,16,6,1,128,32,52.61,OK
148,2516,256,17,6,1,128,32,55.65,OK
148,2664,256,18,6,1,128,32,57.76,OK
148,2812,256,19,6,1,128,32,59.81,OK
148,2960,256,20,5,1,128,32,62.14,OK
148,3108,256,21,5,1,128,32,65.89,OK
148,3256,256,22,5,1,128,32,67.97,OK
148,3404,256,23,5,1,128,32,70.05,OK
148,3552,256,24,4,1,128,32,72.70,OK
148,3700,256,25,4,1,128,32,75.17,OK
148,3848,256,26,4,1,128,32,78.21,OK
148,3996,256,27,4,1,128,32,80.32,OK
148,4144,256,28,4,1,128,32,83.04,OK
148,4292,256,29,4,1,128,32,85.34,OK
148,4440,256,30,4,1,128,32,88.45,OK
148,4588,256,31,4,1,128,32,90.56,OK
148,4736,256,32,3,1,128,32,93.22,OK
148,4884,256,33,3,1,128,32,95.65,OK
148,5032,256,34,3,1,128,32,98.69,OK
148,5180,256,35,3,1,128,32,100.83,OK
148,5328,256,36,3,1,128,32,103.74,OK
148,5476,256,37,3,1,128,32,105.79,OK
148,5624,256,38,3,1,128,32,108.96,OK
148,5772,256,39,3,1,128,32,111.58,OK
148,5920,256,40,3,1,128,32,113.76,OK
148,6068,256,41,3,1,128,32,116.13,OK
148,6216,256,42,3,1,128,32,119.20,OK
148,6364,256,43,3,1,128,32,121.28,OK
148,6512,256,44,3,1,128,32,123.94,OK
148,6660,256,45,3,1,128,32,126.66,OK
148,6808,256,46,3,1,128,32,129.44,OK
148,6956,256,47,3,1,128,32,132.13,OK
148,7104,256,48,2,1,128,32,133.57,OK
148,7252,256,49,2,1,128,32,135.87,OK
148,7400,256,50,2,1,128,32,138.59,OK
148,7548,256,51,2,1,128,32,140.70,OK
148,7696,256,52,2,1,128,32,144.38,OK
148,7844,256,53,2,1,128,32,145.82,OK
148,7992,256,54,2,1,128,32,148.45,OK
148,8140,256,55,2,1,128,32,151.87,OK
148,8288,256,56,2,1,128,32,154.02,OK
148,8436,256,57,2,1,128,32,156.99,OK
148,8584,256,58,2,1,128,32,159.07,OK
148,8732,256,59,2,1,128,32,162.14,OK
148,8880,256,60,2,1,128,32,164.38,OK
148,9028,256,61,2,1,128,32,166.59,OK
148,9176,256,62,2,1,128,32,169.66,OK
148,9324,256,63,2,1,128,32,171.74,OK
148,9472,256,64,2,1,128,32,174.53,OK
148,9620,256,65,2,1,128,32,176.74,OK
148,9768,256,66,2,1,128,32,179.58,OK
148,9916,256,67,2,1,128,32,182.69,OK
148,10064,256,68,2,1,128,32,184.93,OK
148,10212,256,69,2,1,128,32,187.04,OK
