base_bs,batch_size,seq_len_q,kv_len,tp,num_q_heads,num_kv_heads,head_dim,page_size,time_us,status
16,16,1024,1024,1,96,8,128,32,506.30,OK
16,32,1024,1024,2,48,4,128,32,497.28,OK
16,48,1024,1024,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
16,64,1024,1024,4,24,2,128,32,506.43,OK
16,80,1024,1024,5,20,2,128,32,510.40,OK
16,96,1024,1024,6,16,2,128,32,465.38,OK
16,112,1024,1024,7,14,2,128,32,520.67,OK
16,128,1024,1024,8,12,1,128,32,502.21,OK
16,144,1024,1024,9,11,1,128,32,515.36,OK
16,160,1024,1024,10,10,1,128,32,492.93,OK
16,176,1024,1024,11,9,1,128,32,510.27,OK
16,192,1024,1024,12,8,1,128,32,468.64,OK
16,208,1024,1024,13,8,1,128,32,513.09,OK
16,224,1024,1024,14,7,1,128,32,536.00,OK
16,240,1024,1024,15,7,1,128,32,562.53,OK
16,256,1024,1024,16,6,1,128,32,500.13,OK
16,272,1024,1024,17,6,1,128,32,529.79,OK
16,288,1024,1024,18,6,1,128,32,560.54,OK
16,304,1024,1024,19,6,1,128,32,601.73,OK
16,320,1024,1024,20,5,1,128,32,506.08,OK
16,336,1024,1024,21,5,1,128,32,534.78,OK
16,352,1024,1024,22,5,1,128,32,596.38,OK
16,368,1024,1024,23,5,1,128,32,578.02,OK
16,384,1024,1024,24,4,1,128,32,492.96,OK
16,400,1024,1024,25,4,1,128,32,488.54,OK
16,416,1024,1024,26,4,1,128,32,507.36,OK
16,432,1024,1024,27,4,1,128,32,532.90,OK
16,448,1024,1024,28,4,1,128,32,549.31,OK
16,464,1024,1024,29,4,1,128,32,570.30,OK
16,480,1024,1024,30,4,1,128,32,588.96,OK
16,496,1024,1024,31,4,1,128,32,608.83,OK
16,512,1024,1024,32,3,1,128,32,550.21,OK
16,528,1024,1024,33,3,1,128,32,556.10,OK
16,544,1024,1024,34,3,1,128,32,546.08,OK
16,560,1024,1024,35,3,1,128,32,563.78,OK
16,576,1024,1024,36,3,1,128,32,567.78,OK
16,592,1024,1024,37,3,1,128,32,588.26,OK
16,608,1024,1024,38,3,1,128,32,611.84,OK
16,624,1024,1024,39,3,1,128,32,621.98,OK
16,640,1024,1024,40,3,1,128,32,626.05,OK
16,656,1024,1024,41,3,1,128,32,644.22,OK
16,672,1024,1024,42,3,1,128,32,657.89,OK
16,688,1024,1024,43,3,1,128,32,672.19,OK
16,704,1024,1024,44,3,1,128,32,710.11,OK
16,720,1024,1024,45,3,1,128,32,717.25,OK
16,736,1024,1024,46,3,1,128,32,759.84,OK
16,752,1024,1024,47,3,1,128,32,732.54,OK
16,768,1024,1024,48,2,1,128,32,474.53,OK
16,784,1024,1024,49,2,1,128,32,484.70,OK
16,800,1024,1024,50,2,1,128,32,492.70,OK
16,816,1024,1024,51,2,1,128,32,501.15,OK
16,832,1024,1024,52,2,1,128,32,511.62,OK
16,848,1024,1024,53,2,1,128,32,524.74,OK
16,864,1024,1024,54,2,1,128,32,531.01,OK
16,880,1024,1024,55,2,1,128,32,542.08,OK
16,896,1024,1024,56,2,1,128,32,548.32,OK
16,912,1024,1024,57,2,1,128,32,568.38,OK
16,928,1024,1024,58,2,1,128,32,573.70,OK
16,944,1024,1024,59,2,1,128,32,584.13,OK
16,960,1024,1024,60,2,1,128,32,618.11,OK
16,976,1024,1024,61,2,1,128,32,617.82,OK
16,992,1024,1024,62,2,1,128,32,603.58,OK
16,1008,1024,1024,63,2,1,128,32,611.71,OK
16,1024,1024,1024,64,2,1,128,32,623.04,OK
16,1040,1024,1024,65,2,1,128,32,630.21,OK
16,1056,1024,1024,66,2,1,128,32,642.46,OK
16,1072,1024,1024,67,2,1,128,32,723.90,OK
16,1088,1024,1024,68,2,1,128,32,678.46,OK
16,1104,1024,1024,69,2,1,128,32,671.10,OK
16,1120,1024,1024,70,2,1,128,32,717.86,OK
16,1136,1024,1024,71,2,1,128,32,687.46,OK
16,1152,1024,1024,72,2,1,128,32,708.83,OK
