proj,tp_mode,base_m,m,tp,k,n,time_us,tflops,status
qkv_proj,column,128,128,1,6144,14336,,,OK
qkv_proj,column,128,256,2,6144,7168,15.7,1439,OK
qkv_proj,column,128,384,3,6144,4864,16.3,1412,OK
qkv_proj,column,128,512,4,6144,3584,12.6,1789,OK
qkv_proj,column,128,640,5,6144,3072,15.7,1543,OK
qkv_proj,column,128,768,6,6144,2560,14.0,1728,OK
qkv_proj,column,128,896,7,6144,2304,15.5,1638,OK
qkv_proj,column,128,1024,8,6144,1792,12.0,1886,OK
qkv_proj,column,128,1152,9,6144,1664,15.0,1568,OK
qkv_proj,column,128,1280,10,6144,1536,13.4,1797,OK
qkv_proj,column,128,1408,11,6144,1408,14.9,1634,OK
qkv_proj,column,128,1536,12,6144,1280,13.3,1812,OK
qkv_proj,column,128,1664,13,6144,1280,15.0,1747,OK
qkv_proj,column,128,1792,14,6144,1152,13.6,1869,OK
qkv_proj,column,128,1920,15,6144,1152,15.0,1810,OK
qkv_proj,column,128,2048,16,6144,1024,13.6,1892,OK
qkv_proj,column,128,2176,17,6144,1024,15.2,1807,OK
qkv_proj,column,128,2304,18,6144,1024,14.2,2042,OK
qkv_proj,column,128,2432,19,6144,1024,15.8,1934,OK
qkv_proj,column,128,2560,20,6144,896,14.2,1983,OK
qkv_proj,column,128,2688,21,6144,896,15.8,1879,OK
qkv_proj,column,128,2816,22,6144,896,15.4,2019,OK
qkv_proj,column,128,2944,23,6144,896,16.7,1940,OK
qkv_proj,column,128,3072,24,6144,768,14.6,1987,OK
qkv_proj,column,128,3200,25,6144,768,16.0,1887,OK
qkv_proj,column,128,3328,26,6144,768,15.5,2020,OK
qkv_proj,column,128,3456,27,6144,768,16.8,1945,OK
qkv_proj,column,128,3584,28,6144,768,15.7,2148,OK
qkv_proj,column,128,3712,29,6144,768,17.0,2064,OK
qkv_proj,column,128,3840,30,6144,768,16.0,2270,OK
qkv_proj,column,128,3968,31,6144,768,21.2,1769,OK
qkv_proj,column,128,4096,32,6144,640,15.8,2043,OK
qkv_proj,column,128,4224,33,6144,640,17.0,1949,OK
qkv_proj,column,128,4352,34,6144,640,16.0,2133,OK
qkv_proj,column,128,4480,35,6144,640,17.4,2025,OK
qkv_proj,column,128,4608,36,6144,640,16.3,2218,OK
qkv_proj,column,128,4736,37,6144,640,17.7,2109,OK
qkv_proj,column,128,4864,38,6144,640,16.7,2292,OK
qkv_proj,column,128,4992,39,6144,640,22.7,1727,OK
qkv_proj,column,128,5120,40,6144,640,18.8,2142,OK
qkv_proj,column,128,5248,41,6144,640,23.1,1786,OK
qkv_proj,column,128,5376,42,6144,640,19.1,2208,OK
qkv_proj,column,128,5504,43,6144,640,23.5,1841,OK
qkv_proj,column,128,5632,44,6144,640,19.4,2278,OK
qkv_proj,column,128,5760,45,6144,640,23.8,1905,OK
qkv_proj,column,128,5888,46,6144,640,19.5,2380,OK
qkv_proj,column,128,6016,47,6144,640,24.0,1969,OK
qkv_proj,column,128,6144,48,6144,512,19.1,2025,OK
qkv_proj,column,128,6272,49,6144,512,23.1,1707,OK
qkv_proj,column,128,6400,50,6144,512,19.3,2090,OK
qkv_proj,column,128,6528,51,6144,512,27.8,1477,OK
qkv_proj,column,128,6656,52,6144,512,25.1,1669,OK
qkv_proj,column,128,6784,53,6144,512,28.1,1521,OK
qkv_proj,column,128,6912,54,6144,512,25.2,1723,OK
qkv_proj,column,128,7040,55,6144,512,28.2,1572,OK
qkv_proj,column,128,7168,56,6144,512,25.6,1764,OK
qkv_proj,column,128,7296,57,6144,512,28.5,1610,OK
qkv_proj,column,128,7424,58,6144,512,25.9,1802,OK
qkv_proj,column,128,7552,59,6144,512,28.9,1643,OK
qkv_proj,column,128,7680,60,6144,512,26.4,1833,OK
qkv_proj,column,128,7808,61,6144,512,28.9,1700,OK
qkv_proj,column,128,7936,62,6144,512,26.6,1879,OK
qkv_proj,column,128,8064,63,6144,512,29.3,1732,OK
qkv_proj,column,128,8192,64,6144,512,27.2,1896,OK
qkv_proj,column,128,8320,65,6144,512,29.7,1761,OK
qkv_proj,column,128,8448,66,6144,512,27.3,1945,OK
qkv_proj,column,128,8576,67,6144,512,30.2,1789,OK
qkv_proj,column,128,8704,68,6144,512,27.8,1972,OK
qkv_proj,column,128,8832,69,6144,512,31.0,1793,OK
qkv_proj,column,128,8960,70,6144,512,27.6,2043,OK
qkv_proj,column,128,9088,71,6144,512,31.2,1835,OK
qkv_proj,column,128,9216,72,6144,512,28.0,2067,OK
qkv_proj,column,148,148,1,6144,14336,29.9,873,OK
qkv_proj,column,148,296,2,6144,7168,19.4,1345,OK
qkv_proj,column,148,444,3,6144,4864,16.7,1593,OK
qkv_proj,column,148,592,4,6144,3584,16.1,1620,OK
qkv_proj,column,148,740,5,6144,3072,14.5,1930,OK
qkv_proj,column,148,888,6,6144,2560,15.8,1772,OK
qkv_proj,column,148,1036,7,6144,2304,16.8,1744,OK
qkv_proj,column,148,1184,8,6144,1792,13.8,1889,OK
qkv_proj,column,148,1332,9,6144,1664,15.6,1749,OK
qkv_proj,column,148,1480,10,6144,1536,13.9,2003,OK
qkv_proj,column,148,1628,11,6144,1408,15.6,1803,OK
qkv_proj,column,148,1776,12,6144,1280,13.8,2017,OK
qkv_proj,column,148,1924,13,6144,1280,15.0,2013,OK
qkv_proj,column,148,2072,14,6144,1152,16.6,1772,OK
qkv_proj,column,148,2220,15,6144,1152,15.1,2075,OK
qkv_proj,column,148,2368,16,6144,1024,15.8,1885,OK
qkv_proj,column,148,2516,17,6144,1024,15.3,2069,OK
qkv_proj,column,148,2664,18,6144,1024,16.8,1990,OK
qkv_proj,column,148,2812,19,6144,1024,17.1,2068,OK
qkv_proj,column,148,2960,20,6144,896,15.5,2101,OK
qkv_proj,column,148,3108,21,6144,896,17.0,2012,OK
qkv_proj,column,148,3256,22,6144,896,17.4,2064,OK
qkv_proj,column,148,3404,23,6144,896,21.1,1776,OK
qkv_proj,column,148,3552,24,6144,768,15.8,2123,OK
qkv_proj,column,148,3700,25,6144,768,16.9,2060,OK
qkv_proj,column,148,3848,26,6144,768,21.2,1714,OK
qkv_proj,column,148,3996,27,6144,768,17.5,2149,OK
qkv_proj,column,148,4144,28,6144,768,21.3,1834,OK
qkv_proj,column,148,4292,29,6144,768,17.9,2263,OK
qkv_proj,column,148,4440,30,6144,768,21.6,1936,OK
qkv_proj,column,148,4588,31,6144,768,18.2,2376,OK
qkv_proj,column,148,4736,32,6144,640,17.6,2112,OK
qkv_proj,column,148,4884,33,6144,640,22.7,1691,OK
qkv_proj,column,148,5032,34,6144,640,18.8,2106,OK
qkv_proj,column,148,5180,35,6144,640,23.2,1753,OK
qkv_proj,column,148,5328,36,6144,640,19.2,2183,OK
qkv_proj,column,148,5476,37,6144,640,23.3,1846,OK
qkv_proj,column,148,5624,38,6144,640,19.3,2286,OK
qkv_proj,column,148,5772,39,6144,640,19.3,2348,OK
qkv_proj,column,148,5920,40,6144,640,23.8,1955,OK
qkv_proj,column,148,6068,41,6144,640,19.9,2400,OK
qkv_proj,column,148,6216,42,6144,640,24.3,2011,OK
qkv_proj,column,148,6364,43,6144,640,20.3,2460,OK
qkv_proj,column,148,6512,44,6144,640,28.3,1808,OK
qkv_proj,column,148,6660,45,6144,640,28.6,1830,OK
qkv_proj,column,148,6808,46,6144,640,25.8,2075,OK
qkv_proj,column,148,6956,47,6144,640,29.4,1860,OK
qkv_proj,column,148,7104,48,6144,512,25.6,1747,OK
qkv_proj,column,148,7252,49,6144,512,28.5,1601,OK
qkv_proj,column,148,7400,50,6144,512,25.8,1802,OK
qkv_proj,column,148,7548,51,6144,512,28.9,1641,OK
qkv_proj,column,148,7696,52,6144,512,28.9,1676,OK
qkv_proj,column,148,7844,53,6144,512,26.4,1870,OK
qkv_proj,column,148,7992,54,6144,512,29.2,1722,OK
qkv_proj,column,148,8140,55,6144,512,27.1,1890,OK
qkv_proj,column,148,8288,56,6144,512,29.7,1754,OK
qkv_proj,column,148,8436,57,6144,512,27.4,1938,OK
qkv_proj,column,148,8584,58,6144,512,27.3,1979,OK
qkv_proj,column,148,8732,59,6144,512,30.5,1802,OK
qkv_proj,column,148,8880,60,6144,512,27.6,2027,OK
qkv_proj,column,148,9028,61,6144,512,31.0,1834,OK
qkv_proj,column,148,9176,62,6144,512,27.9,2068,OK
qkv_proj,column,148,9324,63,6144,512,31.2,1877,OK
qkv_proj,column,148,9472,64,6144,512,28.4,2096,OK
qkv_proj,column,148,9620,65,6144,512,28.4,2134,OK
qkv_proj,column,148,9768,66,6144,512,40.4,1522,OK
qkv_proj,column,148,9916,67,6144,512,32.7,1910,OK
qkv_proj,column,148,10064,68,6144,512,40.8,1554,OK
qkv_proj,column,148,10212,69,6144,512,32.9,1953,OK
qkv_proj,column,148,10360,70,6144,512,41.3,1579,OK
qkv_proj,column,148,10508,71,6144,512,41.5,1592,OK
qkv_proj,column,148,10656,72,6144,512,33.1,2025,OK
qkv_proj,column,168,168,1,6144,14336,29.8,994,OK
qkv_proj,column,168,336,2,6144,7168,19.5,1519,OK
qkv_proj,column,168,504,3,6144,4864,16.8,1792,OK
qkv_proj,column,168,672,4,6144,3584,15.7,1890,OK
qkv_proj,column,168,840,5,6144,3072,17.2,1845,OK
qkv_proj,column,168,1008,6,6144,2560,15.3,2069,OK
qkv_proj,column,168,1176,7,6144,2304,15.3,2172,OK
qkv_proj,column,168,1344,8,6144,1792,16.7,1777,OK
qkv_proj,column,168,1512,9,6144,1664,15.1,2041,OK
qkv_proj,column,168,1680,10,6144,1536,14.9,2122,OK
qkv_proj,column,168,1848,11,6144,1408,16.8,1906,OK
qkv_proj,column,168,2016,12,6144,1280,15.1,2105,OK
qkv_proj,column,168,2184,13,6144,1280,15.4,2235,OK
qkv_proj,column,168,2352,14,6144,1152,17.0,1957,OK
qkv_proj,column,168,2520,15,6144,1152,16.9,2111,OK
qkv_proj,column,168,2688,16,6144,1024,17.0,1995,OK
qkv_proj,column,168,2856,17,6144,1024,21.0,1712,OK
qkv_proj,column,168,3024,18,6144,1024,17.4,2181,OK
qkv_proj,column,168,3192,19,6144,1024,21.5,1870,OK
qkv_proj,column,168,3360,20,6144,896,21.1,1752,OK
qkv_proj,column,168,3528,21,6144,896,17.7,2193,OK
qkv_proj,column,168,3696,22,6144,896,21.3,1910,OK
qkv_proj,column,168,3864,23,6144,896,22.1,1925,OK
qkv_proj,column,168,4032,24,6144,768,17.6,2164,OK
qkv_proj,column,168,4200,25,6144,768,21.4,1849,OK
qkv_proj,column,168,4368,26,6144,768,21.5,1914,OK
qkv_proj,column,168,4536,27,6144,768,18.0,2376,OK
qkv_proj,column,168,4704,28,6144,768,22.0,2016,OK
qkv_proj,column,168,4872,29,6144,768,26.8,1715,OK
qkv_proj,column,168,5040,30,6144,768,23.9,1991,OK
qkv_proj,column,168,5208,31,6144,768,27.1,1810,OK
qkv_proj,column,168,5376,32,6144,640,19.2,2200,OK
qkv_proj,column,168,5544,33,6144,640,19.3,2261,OK
qkv_proj,column,168,5712,34,6144,640,23.8,1888,OK
qkv_proj,column,168,5880,35,6144,640,19.6,2364,OK
qkv_proj,column,168,6048,36,6144,640,19.9,2391,OK
qkv_proj,column,168,6216,37,6144,640,24.1,2030,OK
qkv_proj,column,168,6384,38,6144,640,20.2,2481,OK
qkv_proj,column,168,6552,39,6144,640,25.4,2028,OK
qkv_proj,column,168,6720,40,6144,640,28.5,1855,OK
qkv_proj,column,168,6888,41,6144,640,25.9,2089,OK
qkv_proj,column,168,7056,42,6144,640,26.2,2120,OK
qkv_proj,column,168,7224,43,6144,640,29.7,1916,OK
qkv_proj,column,168,7392,44,6144,640,26.7,2181,OK
qkv_proj,column,168,7560,45,6144,640,26.8,2216,OK
qkv_proj,column,168,7728,46,6144,640,30.9,1965,OK
qkv_proj,column,168,7896,47,6144,640,27.5,2255,OK
qkv_proj,column,168,8064,48,6144,512,29.3,1733,OK
qkv_proj,column,168,8232,49,6144,512,29.5,1757,OK
