proj,tp_mode,base_m,m,tp,k,n,time_us,tflops,status
qkv_proj,column,16384,16384,1,6144,14336,,,OK
qkv_proj,column,16384,32768,2,6144,7168,908.3,3178,OK
qkv_proj,column,16384,49152,3,6144,4864,926.0,3173,OK
qkv_proj,column,16384,65536,4,6144,3584,889.1,3246,OK
qkv_proj,column,16384,81920,5,6144,3072,971.0,3185,OK
qkv_proj,column,16384,98304,6,6144,2560,993.3,3113,OK
qkv_proj,column,16384,114688,7,6144,2304,1058.0,3069,OK
qkv_proj,column,16384,131072,8,6144,1792,918.9,3141,OK
qkv_proj,column,16384,147456,9,6144,1664,1014.0,2973,OK
qkv_proj,column,16384,163840,10,6144,1536,997.1,3101,OK
qkv_proj,column,16384,180224,11,6144,1408,1072.0,2909,OK
qkv_proj,column,16384,196608,12,6144,1280,1021.0,3029,OK
qkv_proj,column,16384,212992,13,6144,1280,1121.0,2988,OK
qkv_proj,column,16384,229376,14,6144,1152,1067.0,3043,OK
qkv_proj,column,16384,245760,15,6144,1152,1154.0,3015,OK
qkv_proj,column,16384,262144,16,6144,1024,1151.0,2866,OK
qkv_proj,column,16384,278528,17,6144,1024,1214.0,2887,OK
qkv_proj,column,16384,294912,18,6144,1024,1268.0,2927,OK
qkv_proj,column,16384,311296,19,6144,1024,1344.0,2914,OK
qkv_proj,column,16384,327680,20,6144,896,1171.0,3081,OK
qkv_proj,column,16384,344064,21,6144,896,1231.0,3077,OK
qkv_proj,column,16384,360448,22,6144,896,1294.0,3067,OK
qkv_proj,column,16384,376832,23,6144,896,1343.0,3089,OK
qkv_proj,column,16384,393216,24,6144,768,1279.0,2901,OK
qkv_proj,column,16384,409600,25,6144,768,1316.0,2937,OK
qkv_proj,column,16384,425984,26,6144,768,1359.0,2958,OK
qkv_proj,column,16384,442368,27,6144,768,1418.0,2944,OK
qkv_proj,column,16384,458752,28,6144,768,1472.0,2941,OK
qkv_proj,column,16384,475136,29,6144,768,1509.0,2971,OK
qkv_proj,column,16384,491520,30,6144,768,1569.0,2956,OK
qkv_proj,column,16384,507904,31,6144,768,1621.0,2957,OK
qkv_proj,column,16384,524288,32,6144,640,1476.0,2793,OK
qkv_proj,column,16384,540672,33,6144,640,1509.0,2818,OK
qkv_proj,column,16384,557056,34,6144,640,1542.0,2841,OK
qkv_proj,column,16384,573440,35,6144,640,1572.0,2869,OK
