base_bs,batch_size,kv_len,tp,num_q_heads,num_kv_heads,head_dim,page_size,time_us,status
128,128,16384,1,96,8,128,32,1123.33,OK
128,256,16384,2,48,4,128,32,1123.71,OK
128,384,16384,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
128,512,16384,4,24,2,128,32,1125.60,OK
128,640,16384,5,20,2,128,32,1407.94,OK
128,768,16384,6,16,2,128,32,1689.25,OK
128,896,16384,7,14,2,128,32,1960.99,OK
128,1024,16384,8,12,1,128,32,1124.51,OK
128,1152,16384,9,11,1,128,32,1270.08,OK
128,1280,16384,10,10,1,128,32,1407.97,OK
128,1408,16384,11,9,1,128,32,1544.58,OK
128,1536,16384,12,8,1,128,32,1686.24,OK
128,1664,16384,13,8,1,128,32,1830.27,OK
128,1792,16384,14,7,1,128,32,1961.66,OK
128,1920,16384,15,7,1,128,32,2098.21,OK
128,2048,16384,16,6,1,128,32,2234.69,OK
148,148,16384,1,96,8,128,32,1299.52,OK
148,296,16384,2,48,4,128,32,1299.46,OK
148,444,16384,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
148,592,16384,4,24,2,128,32,1299.74,OK
148,740,16384,5,20,2,128,32,1620.00,OK
148,888,16384,6,16,2,128,32,1941.57,OK
148,1036,16384,7,14,2,128,32,2265.18,OK
148,1184,16384,8,12,1,128,32,1301.82,OK
148,1332,16384,9,11,1,128,32,1461.54,OK
148,1480,16384,10,10,1,128,32,1622.08,OK
148,1628,16384,11,9,1,128,32,1782.78,OK
148,1776,16384,12,8,1,128,32,1942.11,OK
148,1924,16384,13,8,1,128,32,2101.82,OK
148,2072,16384,14,7,1,128,32,2267.17,OK
148,2220,16384,15,7,1,128,32,2423.17,OK
148,2368,16384,16,6,1,128,32,2588.00,OK
168,168,16384,1,96,8,128,32,1478.08,OK
168,336,16384,2,48,4,128,32,1482.21,OK
168,504,16384,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
168,672,16384,4,24,2,128,32,1476.29,OK
168,840,16384,5,20,2,128,32,1846.98,OK
168,1008,16384,6,16,2,128,32,2192.13,OK
168,1176,16384,7,14,2,128,32,2558.34,OK
168,1344,16384,8,12,1,128,32,1487.71,OK
168,1512,16384,9,11,1,128,32,1666.05,OK
168,1680,16384,10,10,1,128,32,1846.98,OK
168,1848,16384,11,9,1,128,32,2019.36,OK
168,2016,16384,12,8,1,128,32,2195.78,OK
168,2184,16384,13,8,1,128,32,2377.70,OK
168,2352,16384,14,7,1,128,32,2561.34,OK
168,2520,16384,15,7,1,128,32,2746.69,OK
168,2688,16384,16,6,1,128,32,2928.96,OK
228,228,16384,1,96,8,128,32,2008.45,OK
228,456,16384,2,48,4,128,32,2008.06,OK
228,684,16384,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
228,912,16384,4,24,2,128,32,2003.33,OK
228,1140,16384,5,20,2,128,32,2489.76,OK
228,1368,16384,6,16,2,128,32,2972.99,OK
228,1596,16384,7,14,2,128,32,3462.11,OK
228,1824,16384,8,12,1,128,32,2006.62,OK
228,2052,16384,9,11,1,128,32,2244.99,OK
228,2280,16384,10,10,1,128,32,2490.72,OK
228,2508,16384,11,9,1,128,32,2740.86,OK
228,2736,16384,12,8,1,128,32,2976.13,OK
228,2964,16384,13,8,1,128,32,3231.39,OK
228,3192,16384,14,7,1,128,32,3462.53,OK
228,3420,16384,15,7,1,128,32,3720.74,OK
228,3648,16384,16,6,1,128,32,3951.26,OK
250,250,16384,1,96,8,128,32,2183.55,OK
250,500,16384,2,48,4,128,32,2185.60,OK
250,750,16384,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
250,1000,16384,4,24,2,128,32,2183.94,OK
250,1250,16384,5,20,2,128,32,2722.11,OK
250,1500,16384,6,16,2,128,32,3266.62,OK
250,1750,16384,7,14,2,128,32,3791.23,OK
250,2000,16384,8,12,1,128,32,2184.19,OK
250,2250,16384,9,11,1,128,32,2464.42,OK
250,2500,16384,10,10,1,128,32,2724.19,OK
250,2750,16384,11,9,1,128,32,2989.38,OK
250,3000,16384,12,8,1,128,32,3263.87,OK
250,3250,16384,13,8,1,128,32,3543.42,OK
250,3500,16384,14,7,1,128,32,3793.92,OK
250,3750,16384,15,7,1,128,32,4072.13,OK
250,4000,16384,16,6,1,128,32,4355.42,OK
256,256,16384,1,96,8,128,32,2239.81,OK
256,512,16384,2,48,4,128,32,2235.04,OK
256,768,16384,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
256,1024,16384,4,24,2,128,32,2235.42,OK
256,1280,16384,5,20,2,128,32,2795.14,OK
256,1536,16384,6,16,2,128,32,3333.76,OK
256,1792,16384,7,14,2,128,32,3899.39,OK
256,2048,16384,8,12,1,128,32,2237.57,OK
256,2304,16384,9,11,1,128,32,2514.72,OK
256,2560,16384,10,10,1,128,32,2796.16,OK
256,2816,16384,11,9,1,128,32,3073.54,OK
256,3072,16384,12,8,1,128,32,3334.53,OK
256,3328,16384,13,8,1,128,32,3611.30,OK
256,3584,16384,14,7,1,128,32,3895.33,OK
256,3840,16384,15,7,1,128,32,4169.09,OK
256,4096,16384,16,6,1,128,32,4435.04,OK
271,271,16384,1,96,8,128,32,2361.50,OK
271,542,16384,2,48,4,128,32,2362.75,OK
271,813,16384,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
271,1084,16384,4,24,2,128,32,2363.78,OK
271,1355,16384,5,20,2,128,32,2958.34,OK
271,1626,16384,6,16,2,128,32,3538.24,OK
271,1897,16384,7,14,2,128,32,4109.70,OK
271,2168,16384,8,12,1,128,32,2369.50,OK
271,2439,16384,9,11,1,128,32,2660.03,OK
271,2710,16384,10,10,1,128,32,2954.56,OK
271,2981,16384,11,9,1,128,32,3245.73,OK
271,3252,16384,12,8,1,128,32,3540.67,OK
271,3523,16384,13,8,1,128,32,3818.18,OK
271,3794,16384,14,7,1,128,32,4111.74,OK
271,4065,16384,15,7,1,128,32,4408.83,OK
271,4336,16384,16,6,1,128,32,4707.71,OK
288,288,16384,1,96,8,128,32,2513.02,OK
288,576,16384,2,48,4,128,32,2510.50,OK
288,864,16384,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
288,1152,16384,4,24,2,128,32,2512.51,OK
288,1440,16384,5,20,2,128,32,3132.77,OK
288,1728,16384,6,16,2,128,32,3755.23,OK
288,2016,16384,7,14,2,128,32,4386.11,OK
288,2304,16384,8,12,1,128,32,2511.23,OK
288,2592,16384,9,11,1,128,32,2823.42,OK
288,2880,16384,10,10,1,128,32,3132.77,OK
288,3168,16384,11,9,1,128,32,3447.20,OK
288,3456,16384,12,8,1,128,32,3751.90,OK
288,3744,16384,13,8,1,128,32,4066.34,OK
288,4032,16384,14,7,1,128,32,4382.34,OK
288,4320,16384,15,7,1,128,32,4695.42,OK
288,4608,16384,16,6,1,128,32,5001.86,OK
328,328,16384,1,96,8,128,32,2854.27,OK
328,656,16384,2,48,4,128,32,2856.51,OK
328,984,16384,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
328,1312,16384,4,24,2,128,32,2853.25,OK
328,1640,16384,5,20,2,128,32,3575.17,OK
328,1968,16384,6,16,2,128,32,4263.23,OK
328,2296,16384,7,14,2,128,32,4976.32,OK
328,2624,16384,8,12,1,128,32,2856.22,OK
328,2952,16384,9,11,1,128,32,3214.37,OK
328,3280,16384,10,10,1,128,32,3571.07,OK
328,3608,16384,11,9,1,128,32,3920.58,OK
328,3936,16384,12,8,1,128,32,4264.90,OK
328,4264,16384,13,8,1,128,32,4616.19,OK
328,4592,16384,14,7,1,128,32,4973.98,OK
328,4920,16384,15,7,1,128,32,5338.43,OK
328,5248,16384,16,6,1,128,32,5682.85,OK
