base_tokens,batch_size,seq_len_q,kv_len,tp,num_q_heads,num_kv_heads,head_dim,page_size,time_us,status
16384,1,16384,16384,1,96,8,128,32,4560.29,OK
16384,1,32768,32768,2,48,4,128,32,9682.24,OK
16384,1,49152,49152,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
16384,1,65536,65536,4,24,2,128,32,20487.49,OK
16384,1,81920,81920,5,20,2,128,32,24688.70,OK
16384,1,98304,98304,6,16,2,128,32,29263.94,OK
16384,1,114688,114688,7,14,2,128,32,34339.10,OK
16384,1,131072,131072,8,12,1,128,32,38212.93,OK
16384,1,147456,147456,9,11,1,128,32,45023.46,OK
16384,1,163840,163840,10,10,1,128,32,50370.59,OK
16384,1,180224,180224,11,9,1,128,32,55123.13,OK
16384,1,196608,196608,12,8,1,128,32,58500.39,OK
16384,1,212992,212992,13,8,1,128,32,69213.06,OK
16384,1,229376,229376,14,7,1,128,32,70437.15,OK
16384,1,245760,245760,15,7,1,128,32,81898.78,OK
16384,1,262144,262144,16,6,1,128,32,80262.43,OK
32768,1,32768,32768,1,96,8,128,32,19957.02,OK
32768,1,65536,65536,2,48,4,128,32,39385.06,OK
32768,1,98304,98304,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
32768,1,131072,131072,4,24,2,128,32,77015.33,OK
32768,1,163840,163840,5,20,2,128,32,100451.61,OK
32768,1,196608,196608,6,16,2,128,32,117591.29,OK
32768,1,229376,229376,7,14,2,128,32,142010.18,OK
32768,1,262144,262144,8,12,1,128,32,160663.80,OK
32768,1,294912,294912,9,11,1,128,32,187852.13,OK
32768,1,327680,327680,10,10,1,128,32,212786.47,OK
32768,1,360448,360448,11,9,1,128,32,233369.92,OK
32768,1,393216,393216,12,8,1,128,32,248638.49,OK
32768,1,425984,425984,13,8,1,128,32,292780.49,OK
32768,1,458752,458752,14,7,1,128,32,297985.96,OK
32768,1,491520,491520,15,7,1,128,32,342045.23,OK
32768,1,524288,524288,16,6,1,128,32,337666.29,OK
65536,1,65536,65536,1,96,8,128,32,78321.50,OK
65536,1,131072,131072,2,48,4,128,32,154044.51,OK
65536,1,196608,196608,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
65536,1,262144,262144,4,24,2,128,32,322098.39,OK
65536,1,327680,327680,5,20,2,128,32,427050.26,OK
65536,1,393216,393216,6,16,2,128,32,503704.28,OK
65536,1,458752,458752,7,14,2,128,32,602663.15,OK
65536,1,524288,524288,8,12,1,128,32,673077.51,OK
65536,1,589824,589824,9,11,1,128,32,795012.88,OK
65536,1,655360,655360,10,10,1,128,32,892841.19,OK
65536,1,720896,720896,11,9,1,128,32,974124.39,OK
65536,1,786432,786432,12,8,1,128,32,1038975.34,OK
65536,1,851968,851968,13,8,1,128,32,1220291.38,OK
65536,1,917504,917504,14,7,1,128,32,1242567.87,OK
65536,1,983040,983040,15,7,1,128,32,1450096.92,OK
65536,1,1048576,1048576,16,6,1,128,32,1420011.96,OK
131072,1,131072,131072,1,96,8,128,32,307674.22,OK
131072,1,262144,262144,2,48,4,128,32,641275.45,OK
131072,1,393216,393216,3,32,3,128,32,,"ERR: Error in function 'trtllm_paged_attention_launcher' at /workspace/csrc/trtllm_fmha_kernel_launcher.cu:93: num_qo_heads must be a multiple of num_kv_heads, got num_kv_heads: 3 and num_qo_heads: 32"
131072,1,524288,524288,4,24,2,128,32,1362100.10,OK
131072,1,655360,655360,5,20,2,128,32,1797047.00,OK
131072,1,786432,786432,6,16,2,128,32,2078827.64,OK
131072,1,917504,917504,7,14,2,128,32,2486012.21,OK
131072,1,1048576,1048576,8,12,1,128,32,2758629.64,OK
131072,1,1179648,1179648,9,11,1,128,32,3300444.34,OK
131072,1,1310720,1310720,10,10,1,128,32,3711551.27,OK
131072,1,1441792,1441792,11,9,1,128,32,4063427.00,OK
131072,1,1572864,1572864,12,8,1,128,32,4302837.40,OK
131072,1,1703936,1703936,13,8,1,128,32,5087633.79,OK
131072,1,1835008,1835008,14,7,1,128,32,5156418.95,OK
131072,1,1966080,1966080,15,7,1,128,32,5897629.39,OK
131072,1,2097152,2097152,16,6,1,128,32,5780787.60,OK
