total_tokens,ep,tp,num_experts,tokens_per_expert,max_m,total_valid_m,hidden_size,intermediate_size_per_tp,topk,time_us,tflops,diff,status
1024,1,1,256,4,128,1024,7168,2048,8,,,0.000739,OK
1024,1,2,256,8,128,2048,7168,1024,8,346.8,87,0.000736,OK
1024,1,3,256,12,128,3072,7168,683,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,4,256,16,128,4096,7168,512,8,228.7,131,0.000737,OK
1024,1,5,256,20,128,5120,7168,410,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,6,256,24,128,6144,7168,342,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,7,256,28,128,7168,7168,293,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,8,256,32,128,8192,7168,256,8,154.6,195,0.000738,OK
1024,1,9,256,36,128,9216,7168,228,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,10,256,40,128,10240,7168,205,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,11,256,44,128,11264,7168,187,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,12,256,48,128,12288,7168,171,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,13,256,52,128,13312,7168,158,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,14,256,56,128,14336,7168,147,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,15,256,60,128,15360,7168,137,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,16,256,64,128,16384,7168,128,8,122.3,246,0.000733,OK
1024,1,17,256,68,128,17408,7168,121,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,18,256,72,128,18432,7168,114,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,19,256,76,128,19456,7168,108,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,20,256,80,128,20480,7168,103,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,21,256,84,128,21504,7168,98,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,22,256,88,128,22528,7168,94,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,23,256,92,128,23552,7168,90,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,24,256,96,128,24576,7168,86,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,25,256,100,128,25600,7168,82,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,26,256,104,128,26624,7168,79,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,27,256,108,128,27648,7168,76,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,28,256,112,128,28672,7168,74,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,29,256,116,128,29696,7168,71,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,30,256,120,128,30720,7168,69,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,31,256,124,128,31744,7168,67,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,32,256,128,128,32768,7168,64,8,122.1,246,0.000742,OK
1024,1,33,256,132,256,33792,7168,63,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,34,256,136,256,34816,7168,61,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,35,256,140,256,35840,7168,59,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,36,256,144,256,36864,7168,57,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,37,256,148,256,37888,7168,56,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,38,256,152,256,38912,7168,54,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,39,256,156,256,39936,7168,53,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,40,256,160,256,40960,7168,52,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,41,256,164,256,41984,7168,50,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,42,256,168,256,43008,7168,49,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,43,256,172,256,44032,7168,48,8,251.4,121,0.000734,OK
1024,1,44,256,176,256,45056,7168,47,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,45,256,180,256,46080,7168,46,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,46,256,184,256,47104,7168,45,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,47,256,188,256,48128,7168,44,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,48,256,192,256,49152,7168,43,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,49,256,196,256,50176,7168,42,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,50,256,200,256,51200,7168,41,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,51,256,204,256,52224,7168,41,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,52,256,208,256,53248,7168,40,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,53,256,212,256,54272,7168,39,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,54,256,216,256,55296,7168,38,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,55,256,220,256,56320,7168,38,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
1024,1,56,256,224,256,57344,7168,37,8,,,,"ERR: CUDA driver error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/runtime_utils.hpp:110): 1 (CUDA_ERROR_INVALID_VALUE, invalid argument)"
